"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"GENERALE EUROPEENE DE COURTAGE D'ASSURANCE";"GENERALE EUROPEENE DE COURTAGE D'ASSURANCE";""
"GENERALE EUROPEENE DE COURTAGE D'ASSURANCE GECA";"GENERALE EUROPEENE DE COURTAGE D'ASSURANCE GECA";""
"Generali Immobilien AG";"Generali Immobilien AG";"Wenen"
"Generali schadeverzekering maatschappij N.V.";"Generali schadeverzekering maatschappij N.V., Generali  Schadeverzekering maatschappij N.V., GENERALI schadeverzekering maatschappij N.V., GENERALI schadeverzekering maatschappij nv";"AMSTERDAM"
"Genesis Insurance Brokers Limited";"Genesis Insurance Brokers Limited";"LONDON"
"Genesis Special Risks";"Genesis Special Risks";"LONDON"
"Geniet van Fietsen";"Geniet van Fietsen";"Nunspeet"
"Ge­nil­lard & Co. GmbH";"Ge­nil­lard & Co. GmbH";""
"Genoa Sp. z o.o.";"Genoa Sp. z o.o.";""
"Gen­tele & Kol­le­gen In­ter­na­tio­na­ler Ver­si­che­rungs­mak­ler GmbH";"Gen­tele & Kol­le­gen In­ter­na­tio­na­ler Ver­si­che­rungs­mak­ler GmbH";""
"Gen­tele & Kol­le­gen In­ter­na­tio­na­ler Ver­si­che­rungs­mak­ler GmbH";"Gen­tele & Kol­le­gen In­ter­na­tio­na­ler Ver­si­che­rungs­mak­ler GmbH";"Schwa­bach"
"Genxcis GmbH";"Genxcis GmbH";"DREIEICH"
"Geo Underwriting Europe B.V.";"Geo Underwriting Europe B.V., Geo Europe, Geo Specialty, Geo Underwriting, Geo Specialty Political Violence, Geo Specialty International Property, Geo Specialty Legal Expenses, Geo Specialty Sport, Leisure & Entertainment, Geo Specialty Liability, Geo Specialty Contractors Plant and Machinery, Insurance 4 Car Hire, Towergate Insurance, MIDAS Underwriting, MIDAS Commercial, Claimsafe";"ROTTERDAM"
"Geo Underwriting Services Limited";"Geo Underwriting Services Limited, Fusion Insurance Services Limited";"Londen"
"Georg Hartl ";"Georg Hartl";""
"Georg Johannes Wohlgenannt";"Georg Johannes Wohlgenannt";""
"Georg Maximilian Zenker";"Georg Maximilian Zenker";""
"Georg Ramsauer";"Georg Ramsauer";""
"George Tweewielers V.O.F.";"George Tweewielers V.O.F.";"Oud-Beijerland"
"Ger Leenen Financiële Diensten B.V.";"Ger Leenen Financiële Diensten B.V., De Limburg Hypotheek, DLH, Ger Leenen Financiële Diensten";"GEMEENTE HEERLEN"
"Gera Versluis Advies B.V.";"Gera Versluis Advies B.V., C & P Schade Beheer, Crielaard & Partners Employee Benefits, Crielaard & Partners Pensioen- advies & Empl.Benefits, Crielaard & Partners Pensioenadvies, Crielaard & Partners Pensioenadvies & Employee Beneftis";"NIEUWENDIJK, GEMEENTE ALTENA"
"Geraads & Sorée B.V.";"Geraads, Sorée & Van Liempd, Geraads & Sorée B.V.";"VENLO"
"Gerald Bauinger";"Gerald Bauinger";""
"Gerald Buchta";"Gerald Buchta";""
"Gerald Hermann Winterhalder";"Gerald Hermann Winterhalder";""
"Gerald Lachtner";"Gerald Lachtner";""
"Gerald Schrammel";"Gerald Schrammel";""
"Gerald Stumptner";"Gerald Stumptner";""
"Geraldo Ruesink Financieel Advies";"Geraldo Ruesink Financieel Advies";"Dinxperlo"
"Gerard Associates Limited";"Gerard Associates Limited";""
"Gerard Karel Allround Financiën v.o.f.";"Gerard Karel Allround Financiën v.o.f., Gerard Karel Allround Financiën v.o.f., Gerard Karel Allround Financiën v.o.f.";"Zwaagdijk-Oost"
"Gerard Kocken Tweewielers B.V.";"Gerard Kocken Tweewielers B.V.";"BOXMEER"
"Gerard Segers Verzekeringen";"Gerard Segers Verzekeringen";"Gronsveld"
"Gerard Tool Beheer B.V.";"Gerard Tool en Mark Boetje Financieel Advies, Gerard Tool Beheer B.V., Gerard Tool Advies, Gerard Tool Beheer B.V., Gerard Tool Financieel Advies, Gerard Tool Hypotheken & Assurantiën";"HEILOO"
"Gerard Van Vliet B.V.";"Gerard Van Vliet B.V., TWEEWIELERSP VAN VLIET BV";"HOORN NH"
"Gerbers.nu";"mijnLease.nl, Achterhoek Krediet, Qoffer.nl, Gerbers.nu, mijnKrediet.info, mijnLease.info, mijnKrediet.nl, Gerbers.nu Consumer Finance, Gerbers Consumer Finance";"Ommen"
"Gerd Hönig";"Gerd Hönig";""
"Gerdo Hardeman Tweewielercentrum v.o.f.";"Gerdo Hardeman Tweewielercentrum v.o.f., Gerdo Hardeman Tweewielerscentrum";"Woudenberg"
"Gerhard Fabsich";"Gerhard Fabsich";"KITTSEE"
"Gerhard Haiz";"Gerhard Haiz";"WEIGELSDORF"
"Gerhard Menedetter";"Gerhard Menedetter";"NEUFELD AN DER LEITHA"
"Gerhard Moser";"Gerhard Moser";""
"Gerhard Pfefferkorn";"Gerhard Pfefferkorn";"FELDKIRCH"
"Gerhard Pointner";"Gerhard Pointner";"WINDHAAG BEI FREISTADT"
"Gerhard Schütter";"Gerhard Schütter";""
"Gerhard Stief";"Gerhard Stief";""
"Gerhard Taucmann";"Gerhard Taucmann";""
"Gerhard Unertl";"Gerhard Unertl";"Leoding"
"Gernot Groiß";"Gernot Groiß";"Fraham"
"Gerold Konrad Eckschlager";"Gerold Konrad Eckschlager";""
"Gerrie Okken Assurantiën V.O.F.";"Gerrie Okken Assurantien V.O.F., Vechtdal Hypotheken, Gerrie Okken Assurantiën V.O.F.";"Dedemsvaart"
"Gerrit Dijkstra Hypotheken & Assurantiën";"Gerrit Dijkstra Hypotheken & Assurantiën";"Sneek"
"Gerrit Janssen Assurantiën";"Gerrit Janssen Assurantiën";"Oosterhout"
"Gerrits Assurantiën";"Gerrits Assurantiën, Gerrits Assurantiën";"Groesbeek"
"Gerritsen Adviesgroep B.V.";"Gerritsen Assurantiën, Gerritsen Adviesgroep B.V., Gerritsen Adviesgroep";"RAALTE"
"Gerritsen Assurantiën B.V.";"Gerritsen Assurantiën B.V., Gerritsen Assurantien BV, Gantvoort Assurantiën, Hypotheek & Spaarcentrum Henk Rietman, Rook Assurantie & hypotheekadviseurs, Gerritsen Adviesgroep";"RAALTE"
"Gert J. Rouwendal";"Gert J. Rouwendal, Assuro Assurantiebedrijf, Gert J. Rouwendal";"Voorhout"
"Gert van Lunteren Assurantiën B.V.";"Gert van Lunteren Assurantiën BV, Gert van Lunteren Assurantiën B.V.";"HARDERWIJK"
"Gertrude Koch-Ortner";"Gertrude Koch-Ortner";"Deutschlandberg"
"Gert's Hypotheken";"Gert's Hypotheken, Finance & More Enkhuizen, Finance en More Enkhuizen, Hypotheekdokter";"Enkhuizen"
"Gès Advies";"Gès Advies";"Tholen"
"Gess Invest BVBA";"Gess Invest BVBA";"KERSELAARSTRAAT 46   3320 HOEGAARDEN  BELGIE"
"Gest S.A.";"Gest S.A.";"LUXEMBOURG"
"GESTION RISQUE COURTAGE ASSURANCE";"GESTION RISQUE COURTAGE ASSURANCE";"EGUILLES"
"Get Smart Pensioenconflicten";"Get Smart Pensioenconflicten, GetSmart";"Oisterwijk"
"Geuken Rijwielen";"Geuken Rijwielen";"Winschoten"
"GeulFontein Bewindvoering";"GeulFontein Bewindvoering";"Rotterdam"
"Geurds Financieel Advies";"Geurds Financieel Advies";"Duiven"
"Geurts Assurantien en Financiële Planning";"Geurts Assurantien en Financiële Planning, Geurts Assurantien en Financiële Planning";"Tolkamer"
"GEVA Assurantiën, Vastgoed en Hypotheken B.V.";"GEVA Assurantiën, Vastgoed en Hypotheken B.V., Geva Assurantiën, Geva Hypotheken, Geva Onroerendgoedbemiddeling, Wagenings Assurantiekantoor";"ARNHEM"
"Gevaert Vastgoedbeheer Nieuwegein B.V.";"Gevaert Vastgoedbeheer Nieuwegein B.V.";"NIEUWEGEIN"
"Gevana Financieel Advies";"Gevana Financieel Advies, Huis & Hypotheek - GevanA Financieel Advies, Centrum Verzekeringen";"Doetinchem"
"GEVAS Newcomer GmbH";"GEVAS Newcomer GmbH";"WARNGAU"
"Geven Assurantiën en Hypotheken B.V.";"Geven Assurantiën & Hypotheken B.V., Geven Assurantiën en Hypotheken B.V.";"WEERT"
"GeWe Versicherungs-Vermittlung GmbH";"GeWe Versicherungs-Vermittlung GmbH";""
"Gewi Auto's";"Gewi Auto's, Gewi Auto's";"Ammerzoden"
"Gewoon Beheer V.O.F.";"Gewoon Beheer V.O.F.";"Roosendaal"
"Gewoon Goed Geregeld B.V.";"Gewoon Goed Geregeld B.V., Gewoon Goed Geregeld B.V.";"LINSCHOTEN, GEMEENTE MONTFOORT"
"Geytenbeek Clear Benefits B.V.";"Verzekeren24, Verzekeringen24, Direct Benefits, Geytenbeek Clear Benefits B.V.";"BAARN"
"GFD Assuradeuren B.V.";"GFD Assuradeuren B.V.";"GEMEENTE OOSTERHOUT (NOORD-BRABANT)"
"GfK Gesellschaft für Kreditversicherungsservice GmbH";"GfK Gesellschaft für Kreditversicherungsservice GmbH";"Keulen"
"GGFi Limited";"GGFi Limited";"London"
"GGL Trade Credit Limited";"GGL Trade Credit Limited";""
"GGN Mastering Credit B.V.";"GGN Mastering Credit B.V.";"UTRECHT"
"GGR-Verwaltungsgesellschaft mbH";"GGR-Verwaltungsgesellschaft mbH";""
"GGW Kreditversicherungs Makler GmbH";"GGW Kreditversicherungs Makler GmbH";""
"Ghielen-Helden-Venray-G.H.V. B.V.";"Autobedrijf GHV, Autobedrijf GHV B.V., Ghielen-Helden-Venray-G.H.V., GHV, Glas Garage Venray, Ghielen-Helden-Venray-G.H.V. B.V.";"VENRAY"
"GHIJS BVBA";"GHIJS BVBA";""
"GHW Assuradeuren B.V.";"GHW Assuradeuren B.V.";"NIJMEGEN"
"GHW Assurantieadviseurs B.V.";"GHW Assurantieadviseurs B.V.";"NIJMEGEN"
"GHW assurantiegroep B.V.";"GHW assurantiegroep B.V., Assurantie- en Hypotheekkantoor A. Baron van Hövell tot Westerflier, Assurantiebedrijf de Winckelsteegh, GHW Assuradeuren, GHW Assurantieadviseurs, GHW assurantiegroep B.V., Pensioendesk Nijmegen, GHW assuradeuren B.V.";"NIJMEGEN"
"GI Versicherungs- und Finanzberatungsgmbh";"GI Versicherungs- und Finanzberatungsgmbh";""
"Gi&Bi S.r.l.";"Gi_Bi S.r.l., Gi&Bi S.r.l.";"SALUZZO (CN)"
"Giant Store Den Bosch";"Giant Store Den Bosch, Giant Store Den Bosch";"'s-Hertogenbosch"
"Giant Store Markgraaf";"Giant Store Markgraaf";"Sint-Michielsgestel"
"Giant Store Van Hest B.V.";"Giant Store Van Hest B.V.";"APELDOORN"
"Giant Store Veenstra";"Giant Store Veenstra";"Groningen"
"Gibbs Denley Insurance Services Limited";"Gibbs Denley Insurance Services Limited";"SUFFOLK"
"Gibbs Denley Insurance Services Ltd.";"Gibbs Denley Insurance Services Ltd.";"CAMBRIDGE - CAMBRIDGESHIRE"
"Giel Caravan Import V.O.F.";"Giel Caravan Import V.O.F.";"Poeldijk"
"Gieling Financiële Diensten";"Gieling Financiële Diensten, René Gieling";"Heerhugowaard"
"Gielink & Verheij Hypotheken, Pensioenen en Verzekeringen B.V.";"Gielink & Verheij Hypotheken, Pensioenen en Verzekeringen B.V., Gielink & Verheij Hypotheken en Verzekeringen";"DOESBURG"
"Gielink Advieskantoor";"Gielink Advieskantoor, Zelfstandig adviseur van RegioBank";"Gendringen"
"Gienus Meijerink Verzekeringen en Hypotheken";"Gienus Meijerink Verzekeringen en Hypotheken";"Coevorden"
"Giesbert Assurantiën";"Giesbert Assurantiën";"Almelo"
"Giethoorn Advies";"Giethoorn Advies, Finzie Hoogeveen";"Hoogeveen"
"Gigi Tesileanu Verzekeringen";"Gigi Tesileanu Verzekeringen, Gigi Tesileanu Verzekeringen";"Lelystad"
"Gijs van der Sluis Advies";"Gijs van der Sluis Advies";"Hoek van Holland"
"Gijsbers Advies & Assurantiën";"Gijsbers Advies & Assurantiën";"Wassenaar"
"Gijsbert van Lieshout t.h.o.d.n. De Hypotheekadviseur";"Gijsbert van Lieshout t.h.o.d.n. De Hypotheekadviseur";"Helmond"
"Gijssel Wemeldinge";"Gijssel Wemeldinge";"Wemeldinge"
"Gilbert Otto Müller";"Gilbert Otto Müller";""
"Gilissen Finance";"Gilissen Finance";"Gronsveld"
"GIMD B.V.";"GIMD B.V.";"HEERENVEEN"
"GINIS Benny";"GINIS Benny";"GEEL"
"Gio-Adviesgroep B.V.";"Gio Adviesgroep B.V., t.h./o General Insurance Office, Gio-Adviesgroep B.V.";"AMSTERDAM"
"Gipon B.V.";"Gipon BV, Gipon B.V., www.ICTtender.nl";"BAARN"
"GIRBOUX-CAMBIER SPRL";"GIRBOUX-CAMBIER SPRL";""
"Girobank Plc";"Girobank Plc";"NARBOROUGH"
"GIS Financial Services Limited";"GIS Financial Services Limited";""
"GIUSEPPE STABILE";"GIUSEPPE STABILE";""
"Gjaltema Assurantiën & Makelaardij B.V.";"Gjaltema Assurantiën & Makelaardij B.V.";"DALFSEN"
"GJH Financieel Advies";"GJH Financieel Advies, GJH Financieel Advies";"Joure"
"GJIS Limited";"GJIS Limited";""
"GK Advies";"GK Advies, GK Advies";"Lelystad"
"GKM Nederlands GmbH";"GKM Nederlands GmbH";""
"GlansGarant Finance B.V.";"GlansGarant Finance B.V., GlansGarant Finance B.V., Betere Schilders Betaalplan, Betere Schilders Krediet";"GEMEENTE ZWOLLE"
"Glantschnig Versicherungsmakler Ges.m.b.H.";"Glantschnig Versicherungsmakler Ges.m.b.H.";""
"Glasassurantie Maatschappij Midglas N.V.";"Glasassurantie Maatschappij Midglas N.V.";"BREDA"
"Glasshouse Huizen B.V.";"Glasshouse Financieel, Glasshouse Huizen, Glasshouse Huizen Kamphorst Van Vliet, Glasshouse Huizen B.V.";"HUIZEN"
"Glasz Assurantiën B.V.";"Glasz Assurantiën B.V., Glasz Assurantiën B.V., Glasz Assurantie en Pensioen Adviseurs";"ARNHEM"
"Glaxo Smith Kline Services Unlimited";"Glaxo Smith Kline Services Unlimited";""
"GLEOLI GmbH";"GLEOLI GmbH";"Wien"
"Global Aerospace Underwriting Managers Limited";"Global Aerospace Underwriting Managers Limited";""
"Global Assurantiën B.V.";"Global Finance, Global Assurantiën B.V.";"NIEUWEGEIN"
"Global Aviation Insurance Network Ltd";"Global Aviation Insurance Network Ltd";""
"Global Benefits Europe B.V.";"Global Benefits Europe B.V.";"ODIJK, GEMEENTE BUNNIK"
"Global Broker SPA";"Global Broker SPA";""
"Global Campers B.V.";"Global Campers B.V.";"EMMEN"
"Global Insurance Distribution s.r.o.";"Global Insurance Distribution s.r.o.";""
"Global Insurance Management Limited";"Global Insurance Management Limited";""
"GLOBAL INVESTMENT PARTNERS SPRL";"GLOBAL INVESTMENT PARTNERS SPRL";"Ixelles"
"Global QROPS Limited";"Global QROPS Limited";"EPSOM, SURREY"
"Global Re N.V.";"Global Re N.V.";"AMSTERDAM"
"Globe Underwriting Limited";"Globe Underwriting Limited";""
"Globelink International Travel Insurance Consultants Limited";"Globelink International Travel Insurance Consultants Limited";""
"Glotzbach Assurantiën";"Glotzbach Assurantiën";"Nieuwegein"
"GMAC Bank GmbH";"GMAC Bank GmbH";"RÜSSELHEIM"
"GMBC Consulting GmbH";"GMBC Consulting GmbH";""
"GMBC Services GmbH";"GMBC Services GmbH";""
"GMC Europe";"GMC Europe";"PARIS"
"GMC Lille";"GMC Lille";"LILLE CEDEX"
"GMC Mediterranee";"GMC Mediterranee";"MARSEILLE CEDEX 08"
"GMC Serbices S.A. - Courtiers d'assurances";"GMC Serbices S.A. - Courtiers d'assurances";"LUXEMBOURG"
"GNG Bewindvoering B.V.";"GNG Bewindvoering B.V.";"DORDRECHT"
"GO Consultancy ook h.o.d.n. Rappórt Lucienne Kroon";"GO Consultancy ook h.o.d.n. Rappórt Lucienne Kroon";"Amsterdam"
"Godfroy Assurances V.O.F.";"Godfroy Assurances V.O.F.";"Eijsden"
"Godurance";"Godurance";"Best"
"Goed & Geld Limburg B.V.";"Goed & Geld Limburg B.V.";"GEMEENTE BRUNSSUM"
"Goed met Geld B.V.";"Goed met Geld B.V.";"ELBURG"
"Goed Zeeuws Goed Rond Verzekeringen en Hypotheken t.h.o.d.n. HypotheekCompany Nieuwerkerk";"Goed Zeeuws Goed Rond Verzekeringen en Hypotheken t.h.o.d.n. HypotheekCompany Nieuwerkerk, Goed Zeeuws Goed Rond verzekeringen, Zelfstandig adviseur van RegioBank";"Nieuwerkerk"
"GoedBewind.nl B.V.";"GoedBewind.nl B.V.";"ARNHEM"
"Goedbloed Assurantiën V.O.F.";"Goedbloed Assurantiën, Goedbloed Assurantiën Goedbloed Makelaardij, Goedbloed Makelaardij, Goedbloed Assurantiën V.O.F.";"Goes"
"Goedhart Finance B.V.";"Goedhart Finance, Goedhart Financial Planning, Goedhart Financiële Planning, Goedhart FP, Goedhart Finance B.V.";"GILZE EN RIJEN"
"Goedhart Motoren B.V.";"Goedhart Motoren B.V.";"BODEGRAVEN"
"GoedInvesteren B.V.";"GoedInvesteren B.V., Goedinvesteren, Rambutan, TeakInvest";"KAMPEN"
"GoedVerzekeringsAdvies";"GoedVerzekeringsAdvies";"Woudenberg"
"Goemans Makelaars in Assurantiën B.V.";"Goemans Makelaars in Assurantiën B.V., Goemans Makelaars in Assurantien B.V., Goemans Makelaars in Assurantiën B.V.";"'S-GRAVENHAGE"
"Goemans Vastgoed Beheer B.V.";"Goemans Vastgoed Beheer B.V.";"'S-GRAVENHAGE"
"Goertz Assurantiën";"Goertz Assurantiën, Goertz Assurantiën";"Koningsbosch"
"Goes Assurantiën";"Goes Assurantiën";"Scherpenzeel"
"Goessens Bewindvoering en Budgetbeheer";"Goessens Bewindvoering en Budgetbeheer";"Maastricht"
"Goeyers Assurantiën-Hypotheken-Pensioenen";"Goeijers Assurantiën, Goeyers Assurantiën-Hypotheken-Pensioenen, Goeyers Assurantiën-Hypotheken-Pensioenen";"Breda"
"Goffin Bank N.V.";"Goffin Bank N.V.";"Amsterdam"
"Goffin Bank N.V.";"Goffin Bank N.V.";"MERELBEKE"
"Gol Veenendaal B.V.";"Gol Veenendaal, Saab Centre Gol Veenendaal, Gol Veenendaal B.V.";"VEENENDAAL"
"Gold Car B.V.";"Gold Car B.V.";"AMSTELVEEN"
"GOLD PATRIMOINE";"GOLD PATRIMOINE";""
"Golden Care (London) Limited";"Golden Care (London) Limited";"London"
"Golden Gate IFA Limited";"Golden Gate IFA Limited";"MELKSHAM, WILTSHIRE"
"Goldleaf";"Goldleaf, Conexa, ConexaA1 Krediet, goldleaf";"Den Helder"
"Goldman Sachs International";"Goldman Sachs International";"LONDON"
"Goldman Sachs International Bank";"Goldman Sachs International Bank";"LONDON"
"Goldman Sachs Paris Inc. et Cie";"Goldman Sachs Paris Inc. et Cie";"PARIS"
"Goldman, Sachs & Co oHG";"Goldman, Sachs & Co oHG";"FRANKFURT AM MAIN"
"GoldRepublic B.V.";"GoldRepublic B.V.";"AMSTERDAM"
"Golfguard Limited";"Golfguard Limited";""
"Golinucci sas di Golinucci Paolo & C.";"Golinucci sas di Golinucci Paolo & C.";"CESENA"
"Goll Adviesgroep Holding B.V.";"Goll Adviesgroep Holding B.V.";"UTRECHT"
"Goll Assuradeuren B.V.";"Goll Assuradeuren B.V.";"GEMEENTE UTRECHT"
"Goll Financieel Advies B.V.";"Goll Financieel Advies, Goll Financieel Advies B.V.";"UTRECHT"
"Gomes Noord-Holland B.V.";"Gomes Noord-Holland B.V.";"ALKMAAR"
"Gommans en Jansen Roermond B.V.";"Gommans en Jansen Roermond B.V.";"ROERMOND"
"Gommans Taxaties";"Gommanstax. Hypotheken en Verzekeringen, Gommans Taxaties";"Belfeld"
"Gonlag van Ruijven Hypotheken & Verzekeringen";"Gonlag van Ruijven Hypotheken & Verzekeringen, Gonlag van Ruyven Assurantien";"Maassluis"
"Gonny den Ouden Advies";"Gonny den Ouden Advies, Gonny den Ouden Assurantiën, Gonny den Ouden en/of Assurantiekantoor Rijnland";"'s-Graveland"
"Gontea Consultancy";"Gontea Consultancy, Gontea Consultancy";"BLARICUM"
"Good Advice Finance";"Good Advice Finance";"Eijsden"
"Good FinanZ";"Good FinanZ, GoodFinanZ";"Eindhoven"
"Goodman Operator (UK) Limited";"Goodman Operator (UK) Limited";"LONDON"
"Gooi Finance B.V.";"Flevo Finance, Gooi Finance, Gooi Finance B.V.";"BUSSUM"
"Goois Assurantie Huis";"Goois Assurantie Huis";"Hilversum"
"Goois Motor en Scooter Centrum B.V.";"Goois Motor en Scooter Centrum B.V.";"ALMERE"
"Gooisch Beheer o.g. B.V.";"Gooisch Beheer o.g. B.V.";"HILVERSUM"
"Gooische Consultancy";"Gooische Consultancy";"Blaricum"
"Gooische Wielen Naarden B.V.";"Gooische Wielen Naarden B.V.";"NAARDEN"
"Goosen & Polderman B.V.";"Goosen & Polderman B.V.";"ROTTERDAM"
"Goossens Assurantiën";"Goossens Assurantiën";"Haarlem"
"Goossens financiële dienstverlening";"Goossens financiële dienstverlening, Goossens financiële dienstverlening";"Tilburg"
"Goossens Meubelen B.V.";"Goossens Meubelen B.V., Goossens Meubelen B.V.";"ERP"
"Goossens Tweewielers B.V.";"Goossens Tweewielers B.V.";"BORCULO"
"Goossens Tweewielers V.O.F.";"Goossens Tweewielers / Goossens Minicars, Goossens Tweewielers V.O.F.";"Den Dungen"
"Goossens Urbain";"Goossens Urbain";""
"Goparts";"Goparts";"Tiel"
"Goran Mali";"Goran Mali";""
"Gordijn Advies";"Gordijn Advies";"Rijswijk"
"GO-Rijwielhandel";"GO-Rijwielhandel";"Haarlem"
"Göritzlehner Truck & Bus B.V.";"Auto Service Göritzlehner, Göritzlehner Truck & Bus B.V.";"HENGELO OV"
"Goss & Co (Insurance Brokers) Limited";"Goss & Co (Insurance Brokers) Limited";""
"Goss Risk Management Limited";"Goss Risk Management Limited";""
"Gosseling Groot Hendriks";"Gosseling Groot Hendriks, enschedehypotheek.nl";"Enschede"
"Gossi e Malfa S.r.l.";"Gossi e Malfa S.r.l.";""
"Gossler, Gobert & Wolters Verwaltungs-GmbH";"Gossler, Gobert & Wolters Verwaltungs-GmbH";""
"Götz-Albert von Foerster";"Götz-Albert von Foerster";""
"Gouda & Bredius B.V.";"Gouda & Bredius B.V.";"GEMEENTE AMSTERDAM"
"Goudse Assurantiedesk B.V.";"Goudse Assurantiedesk B.V.";"GOUDA"
"Goudse Levensverzekeringen N.V.";"Goudse Levensverzekeringen N.V.";"GOUDA"
"Goudse Schadeverzekeringen N.V.";"Goudse Schadeverzekeringen N.V., Goudse Schadeverzekeringen N.V., De Zeeuwse Verzekeringen, Ovz Verzekeringen, Algemene Zeeuwse Verzekering Maatschappij , De Zeeuwse";"GOUDA"
"Goudzwaard Assurantiën en Financiële Diensten C.V.";"Goudzwaard Assurantiën en Financiële Diensten C.V.";"Steenbergen"
"Gouwestad Financiële Diensten";"Gouwestad Financiële Diensten";"Waddinxveen"
"Governor and Company of the Bank of Ireland, The";"Governor and Company of the Bank of Ireland, The";"DUBLIN"
"GP&I Advies B.V.";"GP&I Advies B.V., GP&I Advies";"ROSMALEN"
"GPVM Greslechner + Przyhoda GmbH";"GPVM Greslechner + Przyhoda GmbH";"Mödling"
"Gracechurch Wealth Management LLP";"Gracechurch Wealth Management LLP";""
"Gracher Surety GmbH";"Gracher Surety GmbH";"Trier"
"Gradwohl Gesellschaft m.b.H.";"Gradwohl Gesellschaft m.b.H.";""
"Graf Brühl Versicherungsmakler GmbH";"Graf Brühl Versicherungsmakler GmbH";""
"Graham J. Davies & Company";"Graham J. Davies & Company";""
"Grainger Financial Management Ltd (Repres. English Mutual Holdings Ltd)";"Grainger Financial Management Ltd (Repres. English Mutual Holdings Ltd)";"STOURBRIDGE, WEST MIDLANDS"
"Grant Thornton Accountants en Adviseurs B.V.";"Grant Thornton Accountants en Adviseurs B.V.";"ALPHEN AAN DEN RIJN"
"Granular Investments Limited";"Granular Investments Limited";"LONDON"
"Gras Savoye ASC";"Gras Savoye ASC";"PORINCHET"
"Gras Savoye Auxi-Assurance";"Gras Savoye Auxi-Assurance";"MAISONS-ALFORT CEDEX"
"Gras Savoye Bankassur";"Gras Savoye Bankassur";"CESSON-SEVIGNE"
"Gras Savoye Berger Simon";"Gras Savoye Berger Simon";"METZ"
"Gras Savoye Chartier val de Loire";"Gras Savoye Chartier val de Loire";"TOURS CEDEX 01"
"Gras Savoye Consulting (Belgium) SA";"Gras Savoye Consulting (Belgium) SA";"LIÈGE"
"Gras Savoye Grand Sud-Quest";"Gras Savoye Grand Sud-Quest";"BORDEAUX CEDEX"
"GRAS SAVOYE LUXEMBOURG S.A.";"GRAS SAVOYE LUXEMBOURG S.A.";"Strassen"
"Gras Savoye Polska Sp. z.o.o.";"Gras Savoye Polska Sp. z.o.o.";"WARSZAWA"
"Gras Savoye Quest AFR";"Gras Savoye Quest AFR";"LORIENT CEDEX"
"Gras Savoye Ricour";"Gras Savoye Ricour";"TOURCOING CEDEX"
"Gras Savoye SA";"Gras Savoye SA";"NEUILLY SUR SEINE"
"Gras Savoye Sicoma";"Gras Savoye Sicoma";"MARSEILLE CEDEX 08"
"Gras Savoye Tetard";"Gras Savoye Tetard";"PARIS CEDEX 18"
"Grasso Assurantien v.o.f.";"Grasso Assurantien v.o.f., Grasso Assurantiën";"IJsselstein"
"Grauwelman Tweewielers";"Grauwelman Tweewielers";"Culemborg"
"Grazyna Anna Kulka";"Grazyna Anna Kulka";""
"GRB Adviesgroep";"GRB Adviesgroep";"Tilburg"
"Great American Specialty & Affinity Limited";"Great American Specialty & Affinity Limited, Great American Equipment Management Solutions, Lease & Loan Insurance Services";""
"Great American Specialty & Affinity Limited";"Great American Specialty & Affinity Limited";""
"Great British Finance Limited";"Great British Finance Limited";""
"Great rail Journeys Ltd";"Great rail Journeys Ltd";"New Yorkshire"
"Greater Than AB";"Greater Than AB";"Stockholm"
"Grebbestad Financiële Raadgevers";"Grebbestad Financiële Raadgevers, Grebbestad Financiele Raadgevers";"Amerongen"
"GrECo Consult Risiko-, und Sicherheits- und Managementberatung GmbH";"GrECo Consult Risiko-, und Sicherheits- und Managementberatung GmbH";""
"GrECo International AG";"GrECo International AG";""
"GrECo International d.o.o., posredovanje na podrocju zavarovanja";"GrECo International d.o.o., posredovanje na podrocju zavarovanja";"Ljubljana"
"GrECo International s.r.o.";"GrECo International s.r.o.";"Praha"
"GrECo Specialty GmbH";"GrECo Specialty GmbH";"Wien"
"GrECo Ukraine GmbH";"GrECo Ukraine GmbH";""
